Public Identifier,Profile Link,Full Name,Subtitle,Comment Url,comments,Like Count,Comment Count,Is Reply,Is Author,Comment Time,comment_length,sentiment,mood,target,processed_comments
ACoAAAArQoYBpAqYrKxJmm8d24JvmnPZJME8u8I,https://www.linkedin.com/in/ACoAAAArQoYBpAqYrKxJmm8d24JvmnPZJME8u8I,Winnie Sun,#WinnieSun ?? ?? 25+ billion impressions shared | Forbes Ranked Award-Winning Financial Advisor | #CNBCFACouncil Personal Finance Educator + Media Brand Spokesperson | Managing Partner of Sun Group Wealth Partners,https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404863791561089024%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286404863791561089024%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,Meeting Marsha Collier in person = priceless! Very excited to be attending Thursday - hope to see you all there! ,4,4,False,False,"5/23/2018, 2:22:04 AM",113,0.7333,positive,0,meeting marsha collier person priceless excited attending thursday hope see
ACoAAAATB9sBQ4Lr1QH_HHcaU7nsv0veqUjG0iI,https://www.linkedin.com/in/ACoAAAATB9sBQ4Lr1QH_HHcaU7nsv0veqUjG0iI,Marsha Collier,"47 books: eCommerce, Social Media, Customer Service & eBay.Technology pundit - podcast; Twitter #custserv chat, Marketing Maven",https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6405771196897599488%29&replyUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6405932799198658560%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286405771196897599488%2Curn%3Ali%3Aactivity%3A6404842129977413632%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%286405932799198658560%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,I figured you'd be working anyway. Thanks so much Mel,0,0,True,True,"5/26/2018, 1:09:55 AM",53,0.4404,positive,0,figured working anyway thanks much mel
ACoAAAAsJKMBhXw2HY7b6BQcG5onjnxpSQusdaw,https://www.linkedin.com/in/ACoAAAAsJKMBhXw2HY7b6BQcG5onjnxpSQusdaw,Brett Gillilan,B2B Consultant,https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6405101903096741888%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286405101903096741888%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,Do you have the ability to get a full length feature film funded?,0,0,False,False,"5/23/2018, 6:08:14 PM",65,0.3182,neutral,1,ability get full length feature film funded
ACoAAAHNFVQBIa-Ul4NAml-iAqsZTAuZvqcGINw,https://www.linkedin.com/in/ACoAAAHNFVQBIa-Ul4NAml-iAqsZTAuZvqcGINw,Melissa Reyes,Operations Manager at CVS Health,https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6405771196897599488%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286405771196897599488%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,Bummed I am just seeing this! Hope you had a fabulous time!,1,1,False,False,"5/25/2018, 2:27:46 PM",59,0.8105,positive,0,bummed seeing hope fabulous time
ACoAAANmB6kBj8i-jq9oLr67NuxriLKmpuiH6CI,https://www.linkedin.com/in/ACoAAANmB6kBj8i-jq9oLr67NuxriLKmpuiH6CI,Dr. Ai Addyson-Zhang ?? Education Disruptor,"?? I help teens & young adults reclaim their confidence, motivation, & discover their ideal career path | Career & Life Coach | Keynote Speaker | Author | Featured in TED, Forbes, Glamour Magazine, Adobe, LinkedIn",https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404931308665044992%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286404931308665044992%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,This is soooo awesome! Wish i could join you awesome ladies. Have fun. ,1,0,False,False,"5/23/2018, 6:50:21 AM",71,0.9493,positive,0,soooo awesome wish could join awesome lady fun
ACoAAAC-35ABi6S-JNu1xPy6_QTt0cr6EeVVX2o,https://www.linkedin.com/in/ACoAAAC-35ABi6S-JNu1xPy6_QTt0cr6EeVVX2o,Jessica Gottlieb,I write good.,https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404850826774487040%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286404850826774487040%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,"Really looking forward to it and I'm bringing the most influential person in my life... My Mom. 
",3,1,False,False,"5/23/2018, 1:30:33 AM",98,0.4927,positive,0,really looking forward bringing influential person life mom
ACoAAANmB6kBj8i-jq9oLr67NuxriLKmpuiH6CI,https://www.linkedin.com/in/ACoAAANmB6kBj8i-jq9oLr67NuxriLKmpuiH6CI,Dr. Ai Addyson-Zhang ?? Education Disruptor,"?? I help teens & young adults reclaim their confidence, motivation, & discover their ideal career path | Career & Life Coach | Keynote Speaker | Author | Featured in TED, Forbes, Glamour Magazine, Adobe, LinkedIn",https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404863791561089024%29&replyUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404931402680365056%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286404863791561089024%2Curn%3Ali%3Aactivity%3A6404842129977413632%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%286404931402680365056%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,"Enjoy, Winnie! Marsha is such a wonderful lady! ",1,0,True,False,"5/23/2018, 6:50:44 AM",48,0.8168,positive,0,enjoy winnie marsha wonderful lady
ACoAAAATB9sBQ4Lr1QH_HHcaU7nsv0veqUjG0iI,https://www.linkedin.com/in/ACoAAAATB9sBQ4Lr1QH_HHcaU7nsv0veqUjG0iI,Marsha Collier,"47 books: eCommerce, Social Media, Customer Service & eBay.Technology pundit - podcast; Twitter #custserv chat, Marketing Maven",https://www.linkedin.com/feed/update/urn:li:activity:6404842129977413632?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404850826774487040%29&replyUrn=urn%3Ali%3Acomment%3A%28activity%3A6404842129977413632%2C6404851852021768192%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286404850826774487040%2Curn%3Ali%3Aactivity%3A6404842129977413632%29&dashReplyUrn=urn%3Ali%3Afsd_comment%3A%286404851852021768192%2Curn%3Ali%3Aactivity%3A6404842129977413632%29,"Awesome! I've always wanted to meet her, Jessica",1,0,True,True,"5/23/2018, 1:34:37 AM",48,0.6588,positive,0,awesome always wanted meet jessica
ACoAAAT8OykBKzvNzgYhPXTCIaHZnAR3rSsfKmM,https://www.linkedin.com/in/ACoAAAT8OykBKzvNzgYhPXTCIaHZnAR3rSsfKmM,Heather Jacks,A Journey of Sails and Sunsets?? Living on a #Sceptre41 #Sailboat ? Sailing the world with my Kiwi boyfriend ???? ??Currently in PNW ???? Next Up: Canada,https://www.linkedin.com/feed/update/urn:li:activity:6478764510000873472?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6478764510000873472%2C6480490985200717824%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286480490985200717824%2Curn%3Ali%3Aactivity%3A6478764510000873472%29,"LOVE this.....Do we get our AARP discount? LOL! Congrats and love this idea. Cheers from San Francisco.
",1,1,False,False,"12/17/2018, 5:57:32 PM",105,0.9659,positive,0,love get aarp discount lol congrats love idea cheer san francisco
ACoAAACl9SMBrg3zERxEBkVlkrtgUwr3EHPOIk8,https://www.linkedin.com/in/ACoAAACl9SMBrg3zERxEBkVlkrtgUwr3EHPOIk8,Jayme Soulati,Content Marketing Strategy & Development | Product Marketing | Legal Software Products,https://www.linkedin.com/feed/update/urn:li:activity:6478764510000873472?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6478764510000873472%2C6479057521339351040%29&dashCommentUrn=urn%3Ali%3Afsd_comment%3A%286479057521339351040%2Curn%3Ali%3Aactivity%3A6478764510000873472%29,Love it! Congrats!,1,0,False,False,"12/13/2018, 7:01:28 PM",18,0.8475,positive,0,love congrats
